id,upadesha,root,romanized,canonicalForm,gana_id,itStatus,karmatva,defaultPada,semantics_sanskrit,semantics_english,lat_kartari_parasmaipada,lot_kartari_parasmaipada,lat_kartari_atmanepada,lot_kartari_atmanepada,lat_bhavaKarmani_atmanepada,sananta_base,nijanta_base,yanganta_base,upasarga_list
01.0001,???,??,bh?,????,01,anit,akarmaka,parasmaipada,?????????,"[""to be"", ""to become"", ""to exist""]","????,????,??????,????,????,???,?????,?????,?????","????,??????,??????,??,?????,???,?????,????,????",,,"?????,??????,???????,?????,??????,???????,????,???????,???????",?????,????,?????,"[{""prefix"": ""???"", ""combinedRoot"": ""?????"", ""meaning"": ""to experience"", ""example"": ""???????""}]"
01.0002,???,???,edh,????,01,set,akarmaka,atmanepada,??????,"[""to grow"", ""to prosper"", ""to increase""]",,,,,,,,,
02.0001,???,???,ad,?????,02,anit,sakarmaka,parasmaipada,??????,"[""to eat""]",,,,,,,,,
03.0001,???,??,hu,??????,03,anit,sakarmaka,parasmaipada,????,"[""to sacrifice"", ""to offer""]",,,,,,,,,
04.0001,?????,????,div,???????,04,set,akarmaka,parasmaipada,??????????,"[""to play"", ""to sport""]",,,,,,,,,
06.0001,तुद्,तुद्,tud,तुदति,06,anit,sakarmaka,parasmaipada,व्यथने,to strike,,,,,,,,,
07.0001,रुध्,रुध्,rudh,रुणद्धि,07,anit,sakarmaka,parasmaipada,आवरणे,to obstruct,,,,,,,,,
08.0001,तनु,तनु,tanu,तनोति,08,set,sakarmaka,parasmaipada,विस्तारे,to stretch,,,,,,,,,
09.0001,क्री,क्री,krī,क्रीणाति,09,anit,sakarmaka,parasmaipada,द्रव्यविनिमये,to buy,,,,,,,,,
10.0001,चुर्,चुर्,cur,चोरयति,10,set,sakarmaka,parasmaipada,स्तेये,to steal,,,,,,,,,
